Abbreviation,Name,CAS number,"type (i = inorganic, o=organic, w=water, s=solvent, p=pH)",,,,
S-3-apyrHCl,(S)-3-aminopyrrolidine dihydrochloride,128345-57-3,o,,ajn: I added 'HCl' to the name (here and in the Dark Reactions database).,,
3-apdinHCl,3-aminopiperidine dihydrochloride,7/8/138060,o,,ajn: I added 'HCl' to the name (here and in the Dark Reactions database).,,
R-3-apdinHCl,R-3-aminopiperidine dihydrochloride,334618-23-4,o,,ajn: I added 'HCl' to the name (here and in the Dark Reactions database).,,
S-3-apdinHCl,(S)-3-aminopiperidine dihydrochloride,7/4/334618,o,"js: same as for S-aqn, also had to remove a blank space before the 3 to get it to parse",ajn: I added 'HCl' to the name (here and in the Dark Reactions database).,,
VOSO4,Oxovanadium(2+) sulfate,,i,js: had to specify IUPAC name to get it to parse,,,
NaVO3,sodium metavanadate,,i,,,,
Na2C2O4,sodium oxalate,,ox,"js: does this contribute to the ""inorganic"" or the ""organic"" mole fraction contribution in a mole ratio?","ajn:  this contributes to the 'inorganic' component of the products, but should be considered it's own fraction in the mole ratio","js: OK, I will denote ""oxalate-like"" quantities with ""ox""",
S-3-apyr,(S)-3-aminopyrrolidine,,o,"js: (i) really? easy to add, but want to make sure this is true; (ii)   please let's not put parentheses in the abbreviation names because it screws up my scheme for storing the optimized geometries on disk; I changed the reaction chart to account for this","GMN: I didn't know what abbreviation to use, so I wrote it as this for now. The lab notebook is very clear that it does not have HCl, however.",ajn:  I removed the 'not HCl',
Na2TeO3,sodium tellurite,,i,,,,
"1,2-aepip",1-(2-aminoethyl)piperazine,,o,js: Is this the same as aep?  Need a IUPAC name,"GMN: jho244.4-6 have 1-aepip listed as the amine, but then there's a caret with a 2 in there. So 1,2-aepip?","ajn:  there is no 1,2-aep.  It's just aep.",js:  No problem.  We can have two sets of abbreviations for the same thing; I will just give it the same IUPAC name as aep
Na2SeO3,Sodium selenite,,i,,,,
"1,4-dmpipHCl","1,4-dimethylpiperazine hydrochloride",,o,,,,
"1,7-dah","1,7-diaminoheptane",,o,,,,
"1,8-dao","1,8-diaminooctane",,o,,,,
1-epip,1-ethylpiperazine,,o,,,,
NaVTeO5,,,i,,,,
,hydrazine,,o,,,,
2-ahep,2-aminoheptane,,o,,,,
,hexamethylenediamine,,o,,,,
,hexamethylenetetramine,,o,,,,
,sec-butylamine,,o,,,,
dach,"1,2-diaminocyclohexane",,o,,,,
EtOH,Ethyl alcohol,,s,,,,
Ethyl glycol,Ethylene glycol,,s,,,,
Na2CO3,sodium carbonate,,i,,,,
teth,,,,,,,
"2,2-dip",,,,,,,
dea,,,,,,,
tbaBr,tetrabutylammonium bromide,,o,,,,
"1,2-dach","1,2-diaminocyclohexane",,o,,,,
LiOH,lithium hydroxide,,p,Delivered in 1 molar solution,,,
CuCl2*2H2O,copper chloride dihydrate,,i,,,,
CsOH,cesium hydroxide,,p,,,,
,hexamethyl en,,o,,,,
t2aa,,,,huh?,,,
Li2CO3,lithium carbonate,,i,,,,
LiVO3,lithium vanadium trioxide,,i,,,,
imid,imidazole,,o,,,,
1-mha,1-methylheptamine,,o,,,,
1-mhep,1-methylheptane,,o,,,,
2-aoct,2-aminooctane,,o,,,,
,,,,,,,
NaVTeO3,,,i,,,,
aepp,aminoethylpiperazine,,o,,,,
,,,,,,,
NaVO3,sodium vanadium trioxide,,i,,,,
KVO3,potassium vanadiumtrioxide,,i,,,,
,,,,,,,
Na2VO3,,,i,,,,
LiVTeO5,,,i,prototype unit cell,http://journals.iucr.org/c/issues/2002/09/00/br1380/br1380bdy.html,,
CSVTeO5,,,i,,,,
"1,9-dan","1,9-diaminononane",,o,,,,
MoO3,molybdenum trioxide,,i,,,,
H2SO4,sulfuric acid,,i,,,,
Ac,acetic acid,,p,,,,
LD:1,,,,methylenediamine maybe?,,,
NaF,sodium fluoride,,i,,,,
HF,hydrofluoric acid,,i,,,,
4AP,4-aminopyridine,,o,,,,
PD,"1,4-phenylenediamine",,o,,,,
XD,p-Xylylenediamine,,o,,,,
TeO2,tellurium dioxide,,i,,,,
H2SeO4,selenic acid,,i,,,,
"2,5-dmpyz","2,5-dimethylpyrazine",,o,,,,
4AB,4-aminobenzylamine,,o,,,,
Lys,L-Lysine,,o,,,,
Ala,Alanine,,o,,,,
S2BA,sec-2-butylamine,,o,,,,
DAE,dianilanoethane,,o,,,,
AQN,,,,,,,
2AH,,,,,,,
3AP,3-aminopyrrolidine,,o,,,,
chea,cyclohexylamine,,o,,,,
amep,(S)-(-)-2-aminomethyl-1-ethylpyrrolidine,,o,,,,
3-aqn,3-aminoquinuclidine,,o,,,,
M2BA,,,,I have no idea what these two are,,,
DMPEA,,,,,,,
template,varies,,,See the chart,,,
dped,"meso-1,2-diphenylethylenediamine",,o,,,,
HIO3,HIO3,,i,,,,
deed,"N,N'-diethylethylenediamine",,o,,,,
ZnO,ZnO,,,,,,
37HCl,HCl,,,The 37 refers to 37% by mass,,,
85H3PO4,H3PO4,,,The 85 refers to 85% by mass,,,
ABCO-3-amine,"N-(1-Phenylethyl)-1-azabicyclo[2,2,2]octa-3-amine",,,,,,
Zn(NO3)2,Zn(NO3)2,,,,,,
Ga2O3,Ga2O3,,,,,,
Ga2(NO3)3,Ga2(NO3)3,,,,,,
Co(NO3)2,Co(NO3)2,,,,,,
Na2C2O4,,,,,,,
fmed,,,,Just abbreviations,,,
Ded,,,,,,,
malH2,,,,"Not sure what ""mal"" refers to",,,
Na2mal,,,,"Not sure what ""mal"" refers to",,,
squH2,,,,"No idea about all of these abbreviations that include ""H2""",,,
peha,,,,No idea what these are,,,
bapa,,,,,,,
tepa,,,,,,,
phtH2,,,,"Another stange ""H2""",,,
f-phtH2,,,,,,,
i-phtH2,,,,,,,
bwH2,,,,"Called ""USeOxbqH2"" at top",,,
Cl2bwH2,,,,,,,
,Na2MoO4,,,,,,
"1,10-dah","1,10-diaminodecane",,,,,,
tram,tris(2-aminoethyl)amine,,,,,,
