id,notes,labGroup,user,performedBy,reference,valid,compound_0,compound_0_role,compound_0_amount,compound_1,compound_1_role,compound_1_amount,compound_2,compound_2_role,compound_2_amount,compound_3,compound_3_role,compound_3_amount,compound_4,compound_4_role,compound_4_amount,Org_asa_hydrophobic_pH11_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH9_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH2_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH5_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH11_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH3_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH9_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH13_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH2_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH1_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH5_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH1_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH2_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH10_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH6_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH7_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH13_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH6_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH11_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH7_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH12_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH8_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH8_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH2_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH14_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH14_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH12_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH7_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH10_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH7_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH3_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH14_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH4_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH8_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH1_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH4_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH3_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH5_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH4_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH12_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH13_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH5_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH9_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH13_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH10_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH1_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH4_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH14_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH9_chemaxoncxcalc_15.6_gmean_count_drp_DRP,Org_asa_hydrophobic_pH6_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH8_chemaxoncxcalc_15.6_Max_drp_DRP,Org_asa_hydrophobic_pH6_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH3_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH11_chemaxoncxcalc_15.6_Range_drp_DRP,Org_asa_hydrophobic_pH10_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP,Org_asa_hydrophobic_pH12_chemaxoncxcalc_15.6_gmean_molarity_drp_DRP
1378," pH adjusting reagent used: H2SeO3, 1.3431g pH adjusting reagent used: H2SeO3, 1.3431g pH adjusting reagent used: H2SeO3, 1.3431g pH adjusting reagent used: H2SeO3, 1.3431g",Norquist Lab,cfalk,,jho213.2,True,Ammonium oxido(dioxo)vanadium,?,?,Ethylenediamine,?,?,Water,?,?,?,?,?,?,?,?,190.48,0.0,0.0,111.65,190.48,111.65,150.34,0.0,111.65,111.65,111.65,111.65,111.65,190.48,111.65,111.65,190.48,111.65,190.48,0.0,190.48,0.0,150.34,111.65,190.48,0.0,190.48,111.65,0.0,111.65,111.65,190.48,0.0,150.34,111.65,111.65,111.65,0.0,111.65,0.0,190.48,111.65,150.34,190.48,190.48,0.0,111.65,190.48,150.34,111.65,150.34,0.0,0.0,0.0,190.48,190.48
1379," pH adjusting reagent used: H2SeO3, 1.0941g pH adjusting reagent used: H2SeO3, 1.0941g pH adjusting reagent used: H2SeO3, 1.0941g pH adjusting reagent used: H2SeO3, 1.0941g",Norquist Lab,cfalk,,jho213.3,True,Ammonium oxido(dioxo)vanadium,?,?,Water,?,?,3-Aminoquinuclidine dihydrochloride,?,?,?,?,?,?,?,?,223.38,0.0,0.0,180.07,223.38,180.07,212.94,0.0,180.07,180.07,180.07,180.07,180.07,212.94,180.07,180.07,223.38,180.07,223.38,0.0,223.38,0.0,212.94,180.07,223.38,0.0,223.38,180.07,0.0,180.07,180.07,223.38,0.0,212.94,180.07,180.07,180.07,0.0,180.07,0.0,223.38,180.07,212.94,223.38,212.94,0.0,180.07,223.38,212.94,180.07,212.94,0.0,0.0,0.0,212.94,223.38
1380," pH adjusting reagent used: H2SeO3, 1.2942g pH adjusting reagent used: H2SeO3, 1.2942g pH adjusting reagent used: H2SeO3, 1.2942g pH adjusting reagent used: H2SeO3, 1.2942g",Norquist Lab,cfalk,,jho213.4,True,Ammonium oxido(dioxo)vanadium,?,?,Water,?,?,3-Aminoquinuclidine dihydrochloride,?,?,?,?,?,?,?,?,223.38,0.0,0.0,180.07,223.38,180.07,212.94,0.0,180.07,180.07,180.07,180.07,180.07,212.94,180.07,180.07,223.38,180.07,223.38,0.0,223.38,0.0,212.94,180.07,223.38,0.0,223.38,180.07,0.0,180.07,180.07,223.38,0.0,212.94,180.07,180.07,180.07,0.0,180.07,0.0,223.38,180.07,212.94,223.38,212.94,0.0,180.07,223.38,212.94,180.07,212.94,0.0,0.0,0.0,212.94,223.38
1381," pH adjusting reagent used: H2SeO3, 1.0404g pH adjusting reagent used: H2SeO3, 1.0404g pH adjusting reagent used: H2SeO3, 1.0404g pH adjusting reagent used: H2SeO3, 1.0404g",Norquist Lab,cfalk,,jho213.5,True,Ammonium oxido(dioxo)vanadium,?,?,2-Methylpiperazine,?,?,Water,?,?,?,?,?,?,?,?,242.86,0.0,0.0,197.44,242.86,197.44,222.06,0.0,197.44,197.44,197.44,197.44,197.44,242.86,222.06,222.06,242.86,222.06,242.86,0.0,242.86,0.0,222.06,197.44,242.86,0.0,242.86,222.06,0.0,222.06,197.44,242.86,0.0,222.06,197.44,197.44,197.44,0.0,197.44,0.0,242.86,197.44,222.06,242.86,242.86,0.0,197.44,242.86,222.06,222.06,222.06,0.0,0.0,0.0,242.86,242.86
1382," pH adjusting reagent used: H2SeO3, 1.299g pH adjusting reagent used: H2SeO3, 1.299g pH adjusting reagent used: H2SeO3, 1.299g pH adjusting reagent used: H2SeO3, 1.299g",Norquist Lab,cfalk,,jho213.6,True,Ammonium oxido(dioxo)vanadium,?,?,2-Methylpiperazine,?,?,Water,?,?,?,?,?,?,?,?,242.86,0.0,0.0,197.44,242.86,197.44,222.06,0.0,197.44,197.44,197.44,197.44,197.44,242.86,222.06,222.06,242.86,222.06,242.86,0.0,242.86,0.0,222.06,197.44,242.86,0.0,242.86,222.06,0.0,222.06,197.44,242.86,0.0,222.06,197.44,197.44,197.44,0.0,197.44,0.0,242.86,197.44,222.06,242.86,242.86,0.0,197.44,242.86,222.06,222.06,222.06,0.0,0.0,0.0,242.86,242.86
1383," pH adjusting reagent used: H2SeO3, 1.0519g pH adjusting reagent used: H2SeO3, 1.0519g pH adjusting reagent used: H2SeO3, 1.0519g pH adjusting reagent used: H2SeO3, 1.0519g",Norquist Lab,cfalk,,jho213.7,True,Ammonium oxido(dioxo)vanadium,?,?,"2,5-Dimethylpiperazine",?,?,Water,?,?,?,?,?,?,?,?,274.53,0.0,0.0,230.43,274.53,230.43,253.93,0.0,230.43,230.43,230.43,230.43,230.43,253.93,253.93,253.93,274.53,253.93,274.53,0.0,274.53,0.0,253.93,230.43,274.53,0.0,274.53,253.93,0.0,253.93,230.43,274.53,0.0,253.93,230.43,230.43,230.43,0.0,230.43,0.0,274.53,230.43,253.93,274.53,253.93,0.0,230.43,274.53,253.93,253.93,253.93,0.0,0.0,0.0,253.93,274.53
1384," pH adjusting reagent used: H2SeO3, 1.2833g pH adjusting reagent used: H2SeO3, 1.2833g pH adjusting reagent used: H2SeO3, 1.2833g pH adjusting reagent used: H2SeO3, 1.2833g",Norquist Lab,cfalk,,jho213.8,True,Ammonium oxido(dioxo)vanadium,?,?,"2,5-Dimethylpiperazine",?,?,Water,?,?,?,?,?,?,?,?,274.53,0.0,0.0,230.43,274.53,230.43,253.93,0.0,230.43,230.43,230.43,230.43,230.43,253.93,253.93,253.93,274.53,253.93,274.53,0.0,274.53,0.0,253.93,230.43,274.53,0.0,274.53,253.93,0.0,253.93,230.43,274.53,0.0,253.93,230.43,230.43,230.43,0.0,230.43,0.0,274.53,230.43,253.93,274.53,253.93,0.0,230.43,274.53,253.93,253.93,253.93,0.0,0.0,0.0,253.93,274.53
1385," pH adjusting reagent used: H2SeO3, 1.0622g pH adjusting reagent used: H2SeO3, 1.0622g pH adjusting reagent used: H2SeO3, 1.0622g pH adjusting reagent used: H2SeO3, 1.0622g",Norquist Lab,cfalk,,jho213.9,True,Ammonium oxido(dioxo)vanadium,?,?,"2,6-Dimethylpiperazin",?,?,Water,?,?,?,?,?,?,?,?,273.45,0.0,0.0,229.49,273.45,229.49,254.04,0.0,229.49,229.49,229.49,229.49,229.49,254.04,254.04,254.04,273.45,254.04,273.45,0.0,273.45,0.0,254.04,229.49,273.45,0.0,273.45,254.04,0.0,254.04,229.49,273.45,0.0,254.04,229.49,229.49,229.49,0.0,229.49,0.0,273.45,229.49,254.04,273.45,254.04,0.0,229.49,273.45,254.04,254.04,254.04,0.0,0.0,0.0,254.04,273.45
1386," pH adjusting reagent used: H2SeO3, 1.2957g pH adjusting reagent used: H2SeO3, 1.2957g pH adjusting reagent used: H2SeO3, 1.2957g pH adjusting reagent used: H2SeO3, 1.2957g",Norquist Lab,cfalk,,jho213.10,True,Ammonium oxido(dioxo)vanadium,?,?,"2,6-Dimethylpiperazin",?,?,Water,?,?,?,?,?,?,?,?,273.45,0.0,0.0,229.49,273.45,229.49,254.04,0.0,229.49,229.49,229.49,229.49,229.49,254.04,254.04,254.04,273.45,254.04,273.45,0.0,273.45,0.0,254.04,229.49,273.45,0.0,273.45,254.04,0.0,254.04,229.49,273.45,0.0,254.04,229.49,229.49,229.49,0.0,229.49,0.0,273.45,229.49,254.04,273.45,254.04,0.0,229.49,273.45,254.04,254.04,254.04,0.0,0.0,0.0,254.04,273.45
1387," pH adjusting reagent used: H2SeO3, 1.0326g pH adjusting reagent used: H2SeO3, 1.0326g pH adjusting reagent used: H2SeO3, 1.0326g pH adjusting reagent used: H2SeO3, 1.0326g",Norquist Lab,cfalk,,jho213.11,True,Ammonium oxido(dioxo)vanadium,?,?,methylpiperazine,?,?,Water,?,?,?,?,?,?,?,?,258.39,0.0,0.0,217.88,258.39,217.88,232.98,0.0,217.88,217.88,217.88,217.88,217.88,258.39,232.98,232.98,258.39,232.98,258.39,0.0,258.39,0.0,232.98,217.88,258.39,0.0,258.39,232.98,0.0,232.98,217.88,258.39,0.0,232.98,217.88,217.88,217.88,0.0,217.88,0.0,258.39,217.88,232.98,258.39,258.39,0.0,217.88,258.39,232.98,232.98,232.98,0.0,0.0,0.0,258.39,258.39
1388," pH adjusting reagent used: H2SeO3, 1.304g pH adjusting reagent used: H2SeO3, 1.304g pH adjusting reagent used: H2SeO3, 1.304g pH adjusting reagent used: H2SeO3, 1.304g",Norquist Lab,cfalk,,jho213.12,True,Ammonium oxido(dioxo)vanadium,?,?,methylpiperazine,?,?,Water,?,?,?,?,?,?,?,?,258.39,0.0,0.0,217.88,258.39,217.88,232.98,0.0,217.88,217.88,217.88,217.88,217.88,258.39,232.98,232.98,258.39,232.98,258.39,0.0,258.39,0.0,232.98,217.88,258.39,0.0,258.39,232.98,0.0,232.98,217.88,258.39,0.0,232.98,217.88,217.88,217.88,0.0,217.88,0.0,258.39,217.88,232.98,258.39,258.39,0.0,217.88,258.39,232.98,232.98,232.98,0.0,0.0,0.0,258.39,258.39
1389," pH adjusting reagent used: H2SeO3, 1.0358g pH adjusting reagent used: H2SeO3, 1.0358g pH adjusting reagent used: H2SeO3, 1.0358g pH adjusting reagent used: H2SeO3, 1.0358g",Norquist Lab,cfalk,,jho213.13,True,Ammonium oxido(dioxo)vanadium,?,?,Water,?,?,Diethylenetriamine,?,?,?,?,?,?,?,?,272.51,0.0,0.0,173.64,272.51,173.64,195.93,0.0,173.64,173.64,173.64,173.64,173.64,220.65,195.93,195.93,272.51,195.93,272.51,0.0,272.51,0.0,195.93,173.64,272.51,0.0,272.51,195.93,0.0,195.93,173.64,272.51,0.0,195.93,173.64,173.64,173.64,0.0,173.64,0.0,272.51,173.64,195.93,272.51,220.65,0.0,173.64,272.51,195.93,195.93,195.93,0.0,0.0,0.0,220.65,272.51
1390," pH adjusting reagent used: H2SeO3, 1.3228g pH adjusting reagent used: H2SeO3, 1.3228g pH adjusting reagent used: H2SeO3, 1.3228g pH adjusting reagent used: H2SeO3, 1.3228g",Norquist Lab,cfalk,,jho213.14,True,Ammonium oxido(dioxo)vanadium,?,?,Water,?,?,Diethylenetriamine,?,?,?,?,?,?,?,?,272.51,0.0,0.0,173.64,272.51,173.64,195.93,0.0,173.64,173.64,173.64,173.64,173.64,220.65,195.93,195.93,272.51,195.93,272.51,0.0,272.51,0.0,195.93,173.64,272.51,0.0,272.51,195.93,0.0,195.93,173.64,272.51,0.0,195.93,173.64,173.64,173.64,0.0,173.64,0.0,272.51,173.64,195.93,272.51,220.65,0.0,173.64,272.51,195.93,195.93,195.93,0.0,0.0,0.0,220.65,272.51
