ref,reactant_3.abbrev,reactant_3.compound,outcome,reactant_3.smiles
ke28.25,"N,N,N',N'-tmbd","N,N,N',N'-tetramethyl-1,4-butanediamine",3,CN(C)CCCCN(C)C
ke28.26,N-meda,N-methylethylenediamine,4,CNCCN
ke28.27,2-aemp,2-(2-Aminoethyl)-1-methylpyrrolidine,3,CN1CCCC1CCN
ke28.28,"4-a-2,2,6,6-tmp","4-Amino-2,2,6,6-tetramethylpiperidine",3,CC1(CC(CC(N1)(C)C)N)C
ke28.29,2-amep,2-aminomethyl-1-ethylpyrrolidine,3,C1CCN(C1)CCCN
ke28.30,1-2-aep,1-(2-Aminoethyl)pyrrolidine,3,C1CCN(C1)CCN
ke28.32,"N,N,N'-tmpda","N,N,N'-trimethyl-1,3-propanediamine",4,CNCCCN(C)C
ke28.33,"N,N'-dmpda","N,N'-dimethyl-1,3-propanediamine",3,CN(C)CCCN
ke28.31,4-mapip,4-methylaminopiperidine,3,CNC1CCNCC1
ke28.35,3-ampip,3-(aminomethyl)piperidine,3,NCC1CCCNC1
ke28.36,1-3-app,1-(3-aminopropyl)pyrrolidine,4,C1CCN(C1)CCCN
ke28.37,2-apip,2-aminopiperidine,3,C1CCNC(C1)N
ke28.38,1-bpip,1-butylpiperazine,3,CCCCN1CCNCC1
ke28.39,"N,N-dm-3-pa","N,N-dimethyl-3-pyrrolidinamine",3,CN(C)C1CCNC1
ke61.1,tmdp,"4,4'-trimethylenedipiperidine",3,C1CNCCC1CCCC2CCNCC2
ke61.2,5-atmchma,"5-amino-1,3,3-trimethylcyclohexamethylamine, mix of cis and trans",3,CC1(CC(CC(C1)(C)CN)N)C
ke61.3,"4,4'-mbmcha","4,4'-methylenebis(2-methylcyclohexylamine), mixture of isomers",3,NC2CCC(CC1CCC(N)C(C)C1)CC2C
ke61.4,"N,N,N',N'-tmbd","N,N,N',N'-tetramethyl-1,4-butanediamine",3,CN(C)CCCCN(C)C
ke61.5,3-deap,3-(diethylamino)propylamine,3,CCN(CC)CCCN
ke61.6,"1,3-chbma","1,3-cyclohexanebis(methylamine), mix of isomers",4,NCC1CCCC(CN)C1
ke61.7,"N,N,N',N'-tmbd","N,N,N',N'-tetramethyl-1,4-butanediamine",3,CN(C)CCCCN(C)C
ke61.8,2-amp,2-(aminomethyl)piperidine,2,C1=CC=NC(=C1)CN
ke61.9,3-dmpa,3-(dimethylamino)-1-propylamine,3,CN(C)CCCN
ke61.10,"N,N,2,2-tmpd","N,N,2,2-tetramethyl-1,3-propanediamine",3,CC(C)(CN)CN(C)C
ke61.12,2-adeap,2-Amino-5-diethylaminopentane,3,CCN(CC)CCCC(C)N
ke61.13,3-dbapa,3-(dibutylamino)propylamine,3,CCCCN(CCCC)CCCN
ke70.1,N-meda,N-methylethylenediamine,3,CNCCN
ke70.2,"N,N,N'-tmpda","N,N,N'-trimethyl-1,3-propanediamine",3,CNCCCN(C)C
ke70.3,4-apip,4-Aminopiperidine,3,C1=CN=CC=C1N
ke70.4,N-ppda,"N-propyl-1,3-propanediamine",3,NCCCNCCC
ke70.5,N-peda,N-propylethylenediamine,3,CCCNCCN
ke70.6,N-ippda,"N-isopropyl-1,3-propanediamine",3,CC(C)NCCCN
ke70.7,"N,N,N',N'-tmbd","N,N,N',N'-tetramethyl-1,4-butanediamine",3,CN(C)CCCCN(C)C
ke70.8,2-amep,2-aminomethyl-1-ethylpyrrolidine,3,C1CCN(C1)CCCN
ke70.9,"N,N'-dmpda","N,N'-dimethyl-1,3-propanediamine",3,CN(C)CCCN
ke70.10,1-2-aep,1-(2-Aminoethyl)pyrrolidine,3,C1CCN(C1)CCN
ke70.11,"N,N'-dipeda","N,N'-diisopropylethylenediamine",3,CC(C)NCCNC(C)C
ke70.12,"4-a-2,2,6,6-tmp","4-Amino-2,2,6,6-tetramethylpiperidine",3,CC1(CC(CC(N1)(C)C)N)C
ke70.13,3-ampip,3-(aminomethyl)piperidine,3,NCC1CCCNC1
ke70.14,2-apip,2-aminopiperidine,3,C1CCNC(C1)N
ke70.15,2-aemp,2-(2-Aminoethyl)-1-methylpyrrolidine,3,CN1CCCC1CCN
ke70.16,4-ampip,4-(aminomethyl)piperidine,3,C1CNCCC1CN
ke70.17,"2,3-dmp","2,3-dimethylpiperazine",3,CC1C(NCCN1)C
ke70.18,1-chp,1-cyclohexylpiperazine,3,C1=CC=C(C=C1)OC(=O)N
ke70.19,"N,N-dm-3-pa","N,N-dimethyl-3-pyrrolidinamine",3,CN(C)C1CCNC1
ke70.20,1-2-aep,1-(2-Aminoethyl)pyrrolidine,3,C1CCN(C1)CCN
ke70.21,4-1-pp,4-(1-pyrrolidinyl)piperidine,3,C1CCN(C1)C2CCNCC2
ke70.22,1-3-app,1-(3-aminopropyl)pyrrolidine,3,C1CCN(C1)CCCN
ke70.23,3-apdinHCl,3-aminopiperidine dihydrochloride,4,C1C[C@H](CNC1)N.Cl.Cl
ke70.24,1-bpip,1-butylpiperazine,3,CCCCN1CCNCC1
ke70.25,"N,N'-dmhda","N,N'-dimethyl-1,6-hexanediamine",4,N(CCCCCCNC)C
