SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,EMOLECULES_ID
CCCCN1CC2CNCC(C1)C2,Princeton BioMolecular Research,PBMR168762,,"3-Butyl-3,7-diaza-bicyclo[3.3.1]nonane",44786397
CCCCCCCN1CCNCC1,Apollo Scientific,OR6894,82502-77-0,1-(Hept-1-yl)piperazine 97%,919147
N1CCN(CC1)C1CCCC1,Matrix Scientific,008540,21043-40-3,1-Cyclopentyl-piperazine,918656
NCC1CCN1,Oakwood Products (Non-EU Customers),048104,103550-76-1,2-Aminomethylazetidine,36251933
CNCC1(C)CCN(C1)C,ChemBridge,4002993,938458-86-7,"1-(1,3-dimethylpyrrolidin-3-yl)-N-methylmethanamine",15211952
CN(CC#CCCCCCCC#CCN(C)C)C,InterBioScreen,STOCK3S-11095,,"N1,N1,N12,N12-tetramethyldodeca-2,10-diyne-1,12-diamine",4481388
NCCCN(C1CCCCC1)C,Matrix Scientific,026885,26735-20-6,"N1-Cyclohexyl-N1-methyl-1,3-propanediamine",13075359
CC[C@@H]1NCCNC1.Cl.Cl,Acesys Pharmatech,A1633S,128427-05-4,(S)-2-ETHYL-PIPERAZINE-2HCl,29372436
NCC1CCCCN1,Bosche Scientific,A4969,22990-77-8,2-(Aminomethyl)piperidine,891071
NCC1CCCN(C1)CC(C)C,Enamine BB,EN300-114128,,[1-(2-methylpropyl)piperidin-3-yl]methanamine,30488732
CNCC1CCNCC1,ChemDiv BB,BB53-1681,,N-methyl-N-(piperidin-4-ylmethyl)amine,30488703
NCCC1CCCNC1,Matrix Scientific,062984,90000-30-9,(2-Piperidin-3-ylethyl)amine,30488433
NC(=N)CC1CCCC1.Cl,Enamine BB,EN300-125877,,2-cyclopentylethanimidamide hydrochloride,45957635
C[N+](C1CCCCC1)(CCCCCCCCCC[N+](C1CCCCC1)(C)C)C.[I-].[I-],InterBioScreen,STOCK1S-64705,,"N1,N10-dicyclohexyl-N1,N1,N10,N10-tetramethyldecane-1,10-diaminium iodide",33580117
CN1CC2CNCC(C1)C2,Princeton BioMolecular Research,PBMR101386,,"3-Methyl-3,7-diaza-bicyclo[3.3.1]nonane",42804641
CN(CC#CCCCCCCCCCCC#CCN(C)C)C,InterBioScreen,STOCK2S-96403,,"N1,N1,N16,N16-tetramethylhexadeca-2,14-diyne-1,16-diamine",4471314
CC(CN[C@H]1CCCNC1)C.Cl.Cl,Oakwood Products (Non-EU Customers),069536,,(S)-N-(2-Methylpropyl)piperidin-3-aminedihydrochloride,36770581
CCN1CCCCC1CN,Matrix Scientific,020670,37782-46-0,C-(1-Ethyl-piperidin-2-yl)-methylamine,1523027
CCNC1CCN(CC1)C,Matrix Scientific,020458,876717-32-7,Ethyl-(1-methyl-piperidin-4-yl)-amine,1522947
N[C@H]1CCN(C1)C(C)C,Oakwood Products (Non-EU Customers),064210,,(S)-1-Isopropylpyrrolidin-3-amine,36769703
C1CCCN(CC1)CCC1CCNCC1,Matrix Scientific,037320,96901-05-2,1-(2-Piperidin-4-ylethyl)azepane,6254546
NCC1CCCC(C1)N,Enamine BB,EN300-74792,,3-(aminomethyl)cyclohexan-1-amine,36085267
CC(CNC1CCNCC1)C.Cl.Cl,Oakwood Products (Non-EU Customers),063366,,N-Isobutylpiperidine-4-amine dihydrochloride,36768289
NCC(CC(C)C)N,Enamine BB,EN300-73871,,"4-methylpentane-1,2-diamine",36084651
CCNCCNC1CCCCC1,Matrix Scientific,054641,41239-36-5,"N-Cyclohexyl-N'-ethyl-1,2-ethanediamine",6252298
CCCNCCNC,Oakwood Products (Non-EU Customers),024573,,N-Methyl-N'-propyl ethylenediamine,6252272
CC(CCC=C(C)C)NCCCCN1CCCC1,ChemBridge,40955884,,"(1,5-dimethyl-4-hexen-1-yl)[4-(1-pyrrolidinyl)butyl]amine",25611707
CCN(CCN(C1CCCC(C1)C)C)CC,ChemBridge,5463171,,,2355148
CCCN1CCC(CC1)N1CCCCC1CC.Cl,ChemBridge,5456890,,,2354760
NCCN1CCCC(C1)C,Matrix Scientific,008511,85723-75-7,2-(3-Methyl-piperidin-1-yl)-ethylamine,861279
C[C@]1(N)CC[C@H](CC1)C(N)(C)C,Sigma Aldrich,469564,54166-24-4,"cis-1,8-Diamino-p-menthane",207299371
NC(=N)C1CCC1.Cl,Matrix Scientific,094297,71690-89-6,Cyclobutanecarboximidamide hydrochloride,16815446
C1CCCN(CC1)CC1CCNCC1,Enamine BB,EN300-39526,,1-(piperidin-4-ylmethyl)azepane,9782676
N[C@@H]1CCCC[C@H]1N.Cl,Oakwood Products (Non-EU Customers),012708,191480-63-4,"(R,R)-(-)-1,2-Diaminocyclohexane hydrochloride",36762735
NCCCN(CC)C,Matrix Scientific,064347,,"N-Ethyl-N-methylpropane-1,3-diamine",32175469
NCCCN.Cl.Cl,TCI America,T0613,10517-44-9,"1,3-Diaminopropane Dihydrochloride",6875947
CNCCCNC(CC)C,Matrix Scientific,027007,,"N1-(sec-Butyl)-N3-methyl-1,3-propanediamine",18625210
CCCCCCCNCCCNCC,Matrix Scientific,026948,,"N1-Ethyl-N3-heptyl-1,3-propanediamine",18625114
NCCCCCN.Cl.Cl,TCI America,D0099,1476-39-7,"1,5-Diaminopentane Dihydrochloride",6187660
C1CNC2C(C1)NCCC2,Princeton BioMolecular Research,PBMR044872,,"decahydro-1,5-naphthyridine",42791486
CCCCNCC1CCCCN1CC,Exclusive Chemistry,EC-000.1319,,N-[(1-ethyl-2-piperidinyl)methyl]-1-butanamine,33371893
CCCCN1CCCCC1CNCC,Exclusive Chemistry,EC-000.1311,,N-[(1-butyl-2-piperidinyl)methyl]ethanamine,33371877
CCCCNCC1CCCN1C(C)C,Exclusive Chemistry,EC-000.1302,,N-[(1-isopropyl-2-pyrrolidinyl)methyl]-1-butanamine,33371861
CCCNCC1CCCN1CC,Exclusive Chemistry,EC-000.1294,,N-[(1-ethyl-2-pyrrolidinyl)methyl]-1-propanamine,33371845
CCCCN1CCCC1CNC,Exclusive Chemistry,EC-000.1286,,(1-butyl-2-pyrrolidinyl)-N-methylmethanamine,33371829
NCCCCN(CC)CC.Cl.Cl,Enamine BB,EN300-52585,,(4-aminobutyl)diethylamine dihydrochloride,29706288
CN(CC1CCCCN1)C.Cl.Cl,Matrix Scientific,021107,1185304-33-9,Dimethyl-piperidin-2-ylmethyl-amine dihydrochloride,18622757
CN1CCC[C@@H]1CN1CCCCC1,Matrix Scientific,074802,155726-05-9,(R)-1-((1-Methylpyrrolidin-2-yl)methyl)piperidine,36750696
CC1CCN(CC1)CC1CNCC1.Cl.Cl,Matrix Scientific,051648,,4-Methyl-1-(3-pyrrolidinylmethyl)piperidine dihydrochloride,30420337
C1CCN(CC1)CC1CNCC1.Cl.Cl,Matrix Scientific,051640,,1-(3-Pyrrolidinylmethyl)piperidine dihydrochloride,30420321
C=CCN(CCC1CCNCC1)CC=C.Cl.Cl,Matrix Scientific,051616,1219961-11-1,N-Allyl-N-[2-(4-piperidinyl)ethyl]-2-propen-1-amine dihydrochloride,30420280
CN(CCC1CCNCC1)C.Cl.Cl,Matrix Scientific,051608,106024-58-2,"N,N-Dimethyl-2-(4-piperidinyl)-1-ethanamine dihydrochloride",30420267
CCCN(CCC1CCCCN1)CCC.Cl.Cl,Matrix Scientific,051568,,N-[2-(2-Piperidinyl)ethyl]-N-propyl-1-propanamine dihydrochloride,30420190
CC1CCCCN1CCC1CCCCN1.Cl.Cl,Matrix Scientific,051560,109100-18-7,2-Methyl-1-[2-(2-piperidinyl)ethyl]piperidine dihydrochloride,30420178
C=CCN1CCC(C1)CN,ChemBridge,4026449,90346-05-7,1-(1-allyl-3-pyrrolidinyl)methanamine,29703590
CCCCCN(CC(N)C)CCCCC,Zelinsky Institute,B006827,869945-05-1,"N~1~,N~1~-dipentylpropane-1,2-diamine",846923
CCCN(CC1CCCNC1)CCC.Cl.Cl,Matrix Scientific,051427,,N-(3-Piperidinylmethyl)-N-propyl-1-propanamine dihydrochloride,30419969
CCN(CC1CCCNC1)CC.Cl.Cl,Matrix Scientific,051411,1220021-29-3,N-Ethyl-N-(3-piperidinylmethyl)-1-ethanamine dihydrochloride,30419939
CCN(CC1CCC=CC1)CCN(C)C,ChemBridge,5425829,,,2015878
CN(C1CCCC1N)C,Enamine BB,EN300-85878,,"1-N,1-N-dimethylcyclopentane-1,2-diamine",36748729
CC(N1CCC(CC1)N)C,Matrix Scientific,019601,127285-08-9,1-Isopropyl-piperidin-4-ylamine,842357
NC[C@@H]1CCCN(C1)C,Synthonix,M7515,1217604-20-0,(S)-1-Methyl-3-aminomethyl-piperidine,42768414
NCCCCCN1CCCCC1,Enamine BB,EN300-74241,,5-(piperidin-1-yl)pentan-1-amine,24703776
CNCCCN1CCCCC1,Matrix Scientific,018963,86010-41-5,Methyl-(3-piperidin-1-yl-propyl)-amine,5769142
CCC(CN1CCCCC1)N,Matrix Scientific,020836,,1-Piperidin-1-ylmethyl-propylamine,834617
NCC(CCC=C)N.Cl.Cl,Enamine BB,EN300-103676,,"hex-5-ene-1,2-diamine dihydrochloride",43361793
CCCCNCCNCCCC,Matrix Scientific,007552,4013-95-0,"N,N'-Di-n-butylethylenediamine",5759215
N1CC2CCC(C1)N2,Bepharm,B208390,280-06-8,"3,8-Diazabicyclo[3.2.1]octane",44471176
CCCN(CCN)CCC,Matrix Scientific,007226,14165-22-1,2-(Di-n-propylamino)ethylamine,5759088
N[C@H]([C@H](C1CCCCC1)N)C1CCCCC1,AstaTech,60146,179337-54-3,"(1S,2S)-1,2-DICYCLOHEXYLETHANE-1,2-DIAMINE",28302448
NCCCN1CCCCCC1.Cl.Cl,Life Chemicals,F2187-2242,3437-33-0,(3-azepan-1-ylpropyl)amine dihydrocloride,28301818
CC(C1CC1)NC1CCN(CC1)CC(C)C,Enamine,Z1341420790,,,45659217
CC1CCN(CC1)CCNC(C)C,Matrix Scientific,027630,915924-65-1,N-[2-(4-Methylpiperidin-1-yl)ethyl]propan-2-amine,11489626
NCCC(N(C)C)C,Matrix Scientific,036108,60978-33-8,"N-(3-Amino-1-methylpropyl)-N,N-dimethylamine",18189179
CCCN1CCC(CC1)NC1CCCCCC1,ChemBridge,5461802,,,22205297
NCCCN1CCCCCC1,Matrix Scientific,018645,3437-33-0,3-(1-Azepanyl)-1-propanamine,815539
CCC1CCCCN1CCNC(C)C,Matrix Scientific,027663,933738-34-2,N-[2-(2-Ethylpiperidin-1-yl)ethyl]-N-isopropylamine,18186556
CCCCCCCCNCCN,Sigma Aldrich,PH000414,,"N(1)-OCTYL-1,2-ETHANEDIAMINE",28290680
N[C@@H]1C[C@@H]2CCC[C@H](C1)N2C,AK Scientific,K306,76272-56-5,Endo-3-amino-9-methyl-9-azabicyclo[3.3.1]nonane,31526836
ClCCCNCCCN1CCCCCC1,ChemDiv BB,BB53-1160,,N-(3-azepan-1-ylpropyl)-N-(3-chloropropyl)amine,31525827
CCCN1CCC(C1)CN,Matrix Scientific,026827,959239-12-4,(1-Propyl-3-pyrrolidinyl)methanamine,17925316
CCC1NCC(NC1)CC,Enamine BB,EN300-83449,,"2,5-diethylpiperazine",36726160
CCNCCN1CCCCC1C,ChemDiv BB,BB53-0608,,N-ethyl-N-[2-(2-methylpiperidin-1-yl)ethyl]amine,31524983
NCCCCC1CCNCC1,Matrix Scientific,081954,,4-Piperidin-4-ylbutan-1-amine,11474040
CNCCN1CCCCC1CC,ChemDiv BB,BB52-9195,,N-[2-(2-ethylpiperidin-1-yl)ethyl]-N-methylamine,31522840
CN1CCNCC1CC,ChemBridge,4016224,4791-32-6,2-ethyl-1-methylpiperazine,20306671
CCNCC1CCN(C1)C,Matrix Scientific,026835,959239-24-8,N-[(1-Methyl-3-pyrrolidinyl)methyl]-1-ethanamine,14063817
NCCCNC1CCCCC1,Matrix Scientific,026875,3312-60-5,"N1-Cyclohexyl-1,3-propanediamine",535729
CCCCCCN1CCNCC1,Matrix Scientific,037425,51619-55-7,1-Hexylpiperazine,533224
CCNCCN1CCCCCC1.Cl,ChemBridge,4013118,,,32355723
NCC1CCC(CC1)CN,Acros Organics (US),40603,2549-93-1,"1,4-Cyclohexanebis(methylamine), 95%, pract. cis and trans mixture",717998
CC1CCCCN1CCCNC1CCCCCC1,Enamine,Z90622736,,,33335163
NCCC(C(N)C)C,Princeton BioMolecular Research,PBMR156344,,"3-Methyl-pentane-1,4-diamine",43304366
CC1CCN(CC1)C1CCN(CC1)C1CCCCCC1,Zelinsky Institute,UZI/1935246,,,6116151
CN1CCC(CC1)C1CCCN1,ACB Blocks ,C5A-0181,,1-methyl-4-(2-pyrrolidinyl)piperidine,707842
NC1CCCCN(C1)C,ChemBridge,4036522,188192-55-4,1-methyl-3-azepanamine,36551336
CN1CCCC2(C1)CCNCC2,ChemBridge,4043100,,"2-methyl-2,9-diazaspiro[5.5]undecane",36551318
C1NCC(C1)CNC1CC1,CombiPhos Catalysts,MPC-1145,,Cyclopropyl-pyrrolidin-3-ylmethyl-amine,39529320
CC(CNCCN(C)C)C,Enamine BB,EN300-29888,,"N'-isobutyl-N,N-dimethylethane-1,2-diamine",13749040
C[C@@H]1CCC[C@@H](N1CC1CCCCCN1)C,ACB Blocks ,C7A-0341,,"2-{[(2R,6S)-2,6-dimethylpiperidinyl]methyl}azepane",706111
N[C@@H]1CC[C@@H](CC1)N(C)C,ChemDiv BB,BB60-9595,,"(1R,4R)-N,N-Dimethyl-cyclohexane-1,4-diamine",206912436
CCC1CNCCN1,ChemBridge,4029768,13961-37-0,2-ethylpiperazine,2724424
N[C@@H]1CC[C@H](CC1)N(C)C,Activate Scientific,AS62855,,"(1R,4R)-N,N-Dimethyl-cyclohexane-1,4-diamine",39375479
CC(NCC1CCCN1C)C,Oakwood Products (Non-EU Customers),087886,,Isopropyl-(1-methyl-pyrrolidin-2-ylmethyl)-amine,39193335
CN1CCCC2(C1)CCCNC2,Matrix Scientific,062362,845290-58-6,"2-Methyl-2,8-diazaspiro[5.5]undecane",6793107
CCCCCCCN1CCNCCC1,EvoBlocks,EB30070,,"1-heptyl-1,4-diazepane",32283795
CC1(N)CCC(CC1)C(N)(C)C,InterBioScreen,BB_SC-0050,,4-(2-aminopropan-2-yl)-1-methylcyclohexanamine,512036
CCCCCCCCCN1CCNCC1C,EvoBlocks,EB29569,,2-methyl-1-nonylpiperazine,32283566
CCCCCN1CCNCC1C,EvoBlocks,EB29543,,2-methyl-1-pentylpiperazine,32283520
CCCC(N1CCNCC1)CC,Oakwood Products (Non-EU Customers),061971,,1-(1-Ethylbutyl)piperazine,32283424
CCNCC1CCCN(C1)C,Oakwood Products (Non-EU Customers),087878,,Ethyl-(1-methyl-piperidin-3-ylmethyl)-amine,38591354
CCNC1CCCCC1N(C)C,Oakwood Products (Non-EU Customers),087882,,"N-Ethyl-N',N'-dimethyl-cyclohexane-1,2-diamine",38558845
NC[C@@H]1CCCN1,Maybridge,AC34838,,(S)-(+)-2-(Aminomethyl)pyrrolidine,506860
CC(C(=N)N)C,Enamine BB,EN300-51233,,2-methylpropanimidamide,31238612
NC[C@H]1CCCN(C1)C.Cl.Cl,Synthonix,M7251,1400744-18-4,(R)-1-Methyl-3-aminomethyl-piperidine dihydrochloride,43677719
CC(NCCNC1CC1)C,Life Chemicals,F2147-1529,,"N-cyclopropyl-N'-isopropylethane-1,2-diamine",38100467
CCCCCCCCCCCCCCCCCCN1CCN(CC1)CCCCCCCCCCCCCCCCCC,Sigma Aldrich,S983306,,"1,4-DIOCTADECYLPIPERAZINE",10976231
N1CC2C(C1)CNC2,Ark Pharm,AK-64425,5840-00-6,"Octahydropyrrolo[3,4-c]pyrrole",37939293
CC(CNCC1CCN(C1)C)C,Princeton BioMolecular Research,PBMR178927,,Isobutyl-(1-methyl-pyrrolidin-3-ylmethyl)-amine,37894287
CC(C[C@H]1NCCNC1)C,Sigma Aldrich,CDS015703,,r-2-isobutyl-piperazine,43468488
CCCC(=N)N,Enamine BB,EN300-56500,,butanimidamide,4355086
NCC1(CCC1)CN(C)C,Princeton BioMolecular Research,PBMR158848,,[1-(dimethylaminomethyl)cyclobutyl]methanamine,43467335
C1CCN(C1)C[C@H]1CCCN1,Matrix Scientific,071748,60419-23-0,(R)-(-)-1-(2-Pyrrolidinylmethyl)pyrrolidine,4352510
CCCNCCCN,Matrix Scientific,026899,23764-31-0,"N1-Propyl-1,3-propanediamine",496778
CCNC1CCNCC1,CombiPhos Catalysts,MPB-11223,,Ethyl-piperidin-4-yl-amine,37625564
CN1CCC(CC1)[C@@H](N)C,Enamine BB,EN300-89244,,(1S)-1-(1-methylpiperidin-4-yl)ethan-1-amine,31422283
CN(C1CC1)C1CCNCC1,Toronto Research Chemicals,C988770,1197237-40-3,N-Cyclopropyl-N-methyl-,37591455
CN([C@@H]1CCCNC1)C,Oakwood Products (Non-EU Customers),088183,,Dimethyl-(R)-piperidin-3-yl-amine,43464070
CN1CC[C@H](C1)NC1CC1,Oakwood Products (Non-EU Customers),087900,,Cyclopropyl-((R)-1-methyl-pyrrolidin-3-yl)-amine,43463692
CCN[C@H]1CCCN(C1)C,Oakwood Products (Non-EU Customers),087875,,Ethyl-((S)-1-methyl-piperidin-3-yl)-amine,43463676
CN[C@H]1CCN(C1)C,ChemDiv BB,BB60-6383,,Methyl-((S)-1-methyl-pyrrolidin-3-yl)-amine,43463660
CCCCCCCCCCCCN1CCN(CC1)CCCCCCCCCCCC,Sigma Aldrich,S234915,,"1,4-DIDODECYL-PIPERAZINE",7353092
NCC1CCCCN1C(C)C,Enamine BB,EN300-114632,,[1-(propan-2-yl)piperidin-2-yl]methanamine,37416649
N[C@@H]1CC[C@@H](CC1)N,Matrix Scientific,089449,15827-56-2,"cis-1,4-Diaminocyclohexane",206845597
CN(C(C)C)CC1CCCCN1,Oakwood Products (Non-EU Customers),088197,,Isopropyl-methyl-piperidin-2-ylmethyl-amine,37406883
NCCCN(C)C,AK Scientific,H305,109-55-7,3-Dimethylaminopropylamine,490954
NC1CCC(CC1)N,Enamine BB,EN300-20273,,"cyclohexane-1,4-diamine",206842884
NCCC12CC3(CN)CC(C2)(CC(C1)(C3)C)C,Chemical Block,A2396/0101480,,,6773188
CNCCCNC1CCCCC1,Matrix Scientific,026963,90853-13-7,"N1-Cyclohexyl-N3-methyl-1,3-propanediamine",10216365
N[C@@H]1CC[C@@H](C1)N.Cl.Cl,Ark Pharm,AK130844,63591-57-1,"cis-Cyclopentane-1,3-diamine dihydrochloride",46015583
CN1CCC(CC1)CCCC1CCN(CC1)C,AK Scientific,V2063,64168-11-2,"4,4''4,4''4,4''4,4''-Trimethylenebis(1-methylpiperidine)",487099
NCCCN1CCCCC1C,Matrix Scientific,079872,25560-00-3,[3-(2-Methylpiperidin-1-yl)propyl]amine,486522
CCCCCCCCCCCC[N+](CCCC[N+](CCCCCCCCCCCC)(C)C)(C)C.[I-].[I-],Sigma Aldrich,R737755,,"N(1),N(4)-DIDODECYL-N(1),N(1),N(4),N(4)-TETRAMETHYL-1,4-BUTANEDIAMINIUM DIIODIDE",670884
N1CCN(CC1)CC1CCCC1.Cl,Bepharm,B241919,1215167-72-8,1-(Cyclopentylmethyl)piperazine hydrochloride,44392524
CCCCNC1CC(C)(C)NC(C1)(C)C,Enamine BB,EN300-55660,,"N-butyl-2,2,6,6-tetramethylpiperidin-4-amine",31412247
NCCCCN(C(C)C)C.Cl.Cl,Enamine BB,EN300-53561,,(4-aminobutyl)(methyl)propan-2-ylamine dihydrochloride,31411319
NCCC1CCCN1C,AK Scientific,67534,51387-90-7,1-Methyl-2-(2-aminoethyl)pyrrolidine,481450
CCCCN(CC1CCNCC1)C,Enamine BB,EN300-49803,,butyl(methyl)(piperidin-4-ylmethyl)amine,31410283
CC1CCN(CC1)CC1CCNCC1,Enamine BB,EN300-49541,926259-42-9,4-methyl-1-(piperidin-4-ylmethyl)piperidine,31410195
NCC(C1CC1)N(C)C,Enamine BB,EN300-49092,,(2-amino-1-cyclopropylethyl)dimethylamine,31410150
C[N+]([C@@H]1CCCC[C@@H](CCCC1)[N+](C)(C)C)(C)C.[I-].[I-],Molecular Diversity Preservation,16151,,"N~1~,N~1~,N~1~,N~6~,N~6~,N~6~-hexamethylcyclodecane-1,6-diaminium diiodide (en)",5862162
NC1CCCC1N1CCCC1,Enamine BB,EN300-43774,,2-(pyrrolidin-1-yl)cyclopentan-1-amine,31409707
CCN1CCC(CC1)NC1CC1,Enamine BB,EN300-52814,,N-cyclopropyl-1-ethylpiperidin-4-amine,13335907
CN(CCC(N)C)C.Cl.Cl,Enamine BB,EN300-39597,,"N-(3-aminobutyl)-N,N-dimethylamine dihydrochloride",31408394
CNC1CCCCNC1,AstaTech,M59314,124695-93-8,AZEPAN-3-YL-METHYL-AMINE,1838484
NCC1(C)CNC1,Pharmablock (USA) Inc,PB118285,96308-73-5,3-METHYL-3-AMINOMETHYLAZETIDINE DIHYDROCHLORIDE,44385895
CN(CCCCCCCCCCN(C)C)C,Enamine BB,EN300-18447,,"N,N,N',N'-tetramethyldecane-1,10-diamine",31405542
C1CCN(CC1)CCNC1CC1,Princeton BioMolecular Research,PBMR120087,,Cyclopropyl-(2-piperidin-1-yl-ethyl)-amine,36859591
C1CC2C(C1)NCCN2,Princeton BioMolecular Research,PBMR168225,,Octahydro-cyclopentapyrazine,44687682
CN[C@@H]1CNCC1,TCI America,M1108,139015-32-0,(3S)-(-)-3-(Methylamino)pyrrolidine,26947864
CN([C@H]1CCCC[C@@H]1N)C,Acesys Pharmatech,A1014,894493-95-9,"(1S,2S)-N1,N1-dimethylcyclohexane-1,2-diamine",26947648
CCCN1CCC(CC1)N1CCCCC1,ChemBridge,5460223,,,13320550
CCN(C1CCCCCCC1)CCN(C)C,ChemBridge,5456534,,,13320342
CN1C[C@]2(C)CNC[C@](C1)(C2)C,InterBioScreen,STOCK1N-70557,,"(1R,5S)-1,3,5-trimethyl-3,7-diazabicyclo[3.3.1]nonane",26436519
C1CC2C(N1)CCN2,Enamine BB,EN300-89803,,"octahydropyrrolo[3,2-b]pyrrole",32444843
NC1CC(C)N(CC1C)C,Enamine BB,EN300-69930,,"1,2,5-trimethylpiperidin-4-amine",32443600
CCC(CN)N.Cl.Cl,Enamine BB,EN300-69267,,"butane-1,2-diamine dihydrochloride",32442996
CC[C@H]1CN[C@@H](CN1)C,Ark Pharm,AK122418,907207-97-0,"(2S,5R)-2-Ethyl-5-methylpiperazine",44834213
CCNC(C1CCCNC1)C(C)C,Enamine BB,EN300-89678,,ethyl[2-methyl-1-(piperidin-3-yl)propyl]amine,32442534
CN1CC2(C)CNCC(C1)(C2)C,Matrix Scientific,020621,169177-35-9,"1,3,5-Trimethyl-3,7-diaza-bicyclo[3.3.1]nonane",1197286
CC[C@H]1NCCN(C1)C,Anichem,INT-1156,,(R)-3-Ethyl-1-methyl-piperazine,44826613
CCN1CCC(CC1)N1CCCC(C1)C,ChemBridge,5461764,,,2074021
CC(CNC1CCN(CC1)C)C,Enamine BB,EN300-53273,,1-methyl-N-(2-methylpropyl)piperidin-4-amine,29963648
N1CC2CC1CN2,Anichem,T18009,672-28-6,"2,5-Diaza-bicyclo[2.2.1]heptane",44825650
CC([C@@H]1NC[C@@H](NC1)C(C)C)C,Anichem,31420,,"(2S,5S)-2,5-Diisopropyl-piperazine",44825619
CC1CCN(CC1)CC1CCCCN1,Vitas M Labs,STK893922,,4-methyl-1-(piperidin-2-ylmethyl)piperidine,30519090
NCCC1=CCN(CC1)CC=C(C)C,Alinda Chemical,ALBB-022860,,"{2-[1-(3-methylbut-2-en-1-yl)-1,2,3,6-tetrahydropyridin-4-yl]ethyl}amine dihydrochloride",45987486
CN1CCC(CC1)N1CCCCCC1,Matrix Scientific,081029,,1-(1-Methylpiperidin-4-yl)azepane,43619300
CN(CCNC1CCCCC1)C,Matrix Scientific,020950,99178-21-9,"N'-Cyclohexyl-N,N-dimethyl-ethane-1,2-diamine",1556668
NCC1CCCN(C1)C.Cl,Anichem,A82051,14613-37-7,"C-(1-Methyl-piperidin-3-yl)-methylamine, HCl",44824430
CCCCCCCCCCCCCCCCCCNCCN,Sigma Aldrich,PH003617,,"N(1)-octadecyl-1,2-ethanediamine",35865409
C1CCC(CC1)NC1CCNCC1.Cl.Cl,Matrix Scientific,037311,,N-Cyclohexylpiperidin-4-amine dihydrochloride,45984060
CCC1NCCNC1.Cl.Cl,AK Scientific,W6296,438050-52-3,2-Ethylpiperazine dihydrochloride,35862450
CC1CCN(CC1)CC1CCCNC1,Enamine BB,EN300-61091,,4-methyl-1-(piperidin-3-ylmethyl)piperidine,31372658
CC(CCC(=N)N)C.Cl,Oakwood Products (Non-EU Customers),061468,,4-Methylpentanimidamide hydrochloride,32231871
NC1CCN(C1)CC1CCCC1,Enamine BB,EN300-93475,,1-(cyclopentylmethyl)pyrrolidin-3-amine,37000191
CN1CCCC(C1)N,Matrix Scientific,027094,42389-57-1,1-Methylpiperidin-3-amine,1548173
N1CCC(CC1)CCN1CCCC1,Apollo Scientific,OR0806,14759-08-1,4-[2-(Pyrrolidin-1-yl)ethyl]piperidine 98%,933290
C1CCN(CC1)CCC1CCNCC1,Matrix Scientific,019668,14759-09-2,1-Piperidino-2-[4]piperidyl-ethane,1542144
CCCCCCCCCCCCCCCCCCNC(=N)C,ChemBridge,5105146,,,2047585
CNCC1CCN(C1)CC(C)C,Matrix Scientific,063322,887405-45-0,[(1-Isobutylpyrrolidin-3-yl)methyl]methylamine,3725336
CNCC1CCCN1CC,Enamine BB,EN300-71750,,[(1-ethylpyrrolidin-2-yl)methyl](methyl)amine,3724933
